Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present <WUG> <WUG> past take","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP past (VP take ) ) ) ) ) )",-95.159250378,-95.1666560177,0.992621714514,0.0468694794573,0.000847772669286,347.14911776,72.,6.00734936453,2.00000036048;1.00735496634;1.00000399912;1.00000663208;1.00000843414;5.99897415688
"present <WUG> <WUG> past chase","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  chase)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP past (VP (LEX chase ) ) ) ) ) ) )",-99.4132132965,-99.8137469644,0.669962413216,0.677310257722,7.51040621623e-05,378.820131788,48.,6.68227271643,2.00000036048;1.00735496634;1.00000399912;1.00000452195;1.67493389617;6.67389961891
"present <WUG> <WUG> present love","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  love)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP present (VP (LEX love ) ) ) ) ) ) )",-97.7996216671,-97.8577546985,0.943524420734,0.241597477048,7.83493964611e-05,375.123993251,42.,7.00697198254,2.00000036048;1.05643572037;1.00003942464;1.00000034614;1.9999999965;6.90009236612
"present <WUG> <WUG> past sell","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP past (VP (LEX sell ) ) ) ) ) ) )",-99.7008945882,-100.101428256,0.669962413216,0.677310257722,5.63306259213e-05,380.740087851,48.,6.68227271643,2.00000036048;1.00735496634;1.00000399912;1.00000452195;1.67493389617;6.67389961891
"present <WUG> <WUG> present drink","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  drink)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP present (VP (LEX drink ) ) ) ) ) ) )",-96.1900099712,-96.2481430026,0.943524420734,0.241597477048,0.000391812703103,364.017523875,42.,7.00697198254,2.00000036048;1.05643572037;1.00003942464;1.00000034614;1.9999999965;6.90009236612
"present <WUG> <WUG> present drive","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  drive)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP present (VP drive ) ) ) ) ) )",-94.7886741189,-94.8592386893,0.931867566523,0.308158066617,0.000174109457294,347.921583869,72.,6.01932657265,2.00000036048;1.05643572054;1.00003942464;1.00000034268;1.01235459006;5.91244695934
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP present (VP (LEX <WUG> ) ) ) ) ) ) )",-125.336337456,-125.967571308,0.531935066548,0.930637520028,4.52210380632e-07,549.249150991,84.,6.57074673968,2.00000036048;1.05640921564;1.00003940551;1.00054036876;1.56377455951;6.46338029866
"present <WUG> <WUG> present study","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  study)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP present (VP (LEX study ) ) ) ) ) ) )",-98.0873029588,-98.1454359902,0.943524420734,0.241597477048,5.87622409595e-05,377.109020735,42.,7.00697198254,2.00000036048;1.05643572037;1.00003942464;1.00000034614;1.9999999965;6.90009236612
"present <WUG> <WUG> present like","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  like)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP present (VP (LEX like ) ) ) ) ) ) )",-94.8033211962,-94.8614542276,0.943524420734,0.241597477048,0.00156786730607,354.449243245,42.,7.00697198254,2.00000036048;1.05643572037;1.00003942464;1.00000034614;1.9999999965;6.90009236612
"present <WUG> <WUG> past write","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP present (VP <WUG> (CP <WUG> (IP past (VP (LEX write ) ) ) ) ) ) )",-97.0379832134,-97.4385168813,0.669962413216,0.677310257722,0.000807531650324,362.968084641,48.,6.68227271643,2.00000036048;1.00735496634;1.00000399912;1.00000452195;1.67493389617;6.67389961891
