Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past hear that past buy","(START  (IP  (LEX  past) (VP  (LEX  hear) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP (LEX past ) (VP (LEX hear ) (CP (LEX that ) (IP (LEX past ) (VP (LEX buy ) ) ) ) ) ) )",-52.9611171902,-52.9611171902,1.,0.,0.0257346439161,242.58536214,1.,11.,3.;2.;2.;2.;2.;7.
"past hear that past write","(START  (IP  (LEX  past) (VP  (LEX  hear) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP (LEX past ) (VP (LEX hear ) (CP (LEX that ) (IP (LEX past ) (VP (LEX write ) ) ) ) ) ) )",-52.5032141665,-52.5032141665,1.,0.,0.0258452751698,239.380040974,1.,11.,3.;2.;2.;2.;2.;7.
"past hear that past sell","(START  (IP  (LEX  past) (VP  (LEX  hear) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP (LEX past ) (VP (LEX hear ) (CP (LEX that ) (IP (LEX past ) (VP (LEX sell ) ) ) ) ) ) )",-55.296296165,-55.296296165,1.,0.,0.0255625872227,258.931614963,1.,11.,3.;2.;2.;2.;2.;7.
"past hear that past take","(START  (IP  (LEX  past) (VP  (LEX  hear) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP (LEX past ) (VP (LEX hear ) (CP (LEX that ) (IP (LEX past ) (VP (LEX take ) ) ) ) ) ) )",-52.0775835074,-52.0775835074,1.,0.,0.0260050395017,236.40062636,1.,11.,3.;2.;2.;2.;2.;7.
"past hear that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  hear) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP (LEX past ) (VP (LEX hear ) (CP (LEX that ) (IP (LEX past ) (VP (LEX <WUG> ) ) ) ) ) ) )",-81.9598241763,-81.9598241763,1.,0.,0.0255441485774,445.576311042,1.,11.,3.;2.;2.;2.;2.;7.
"past hear that past break","(START  (IP  (LEX  past) (VP  (LEX  hear) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  break)))))))","(START (IP (LEX past ) (VP (LEX hear ) (CP (LEX that ) (IP (LEX past ) (VP (LEX break ) ) ) ) ) ) )",-53.9970172445,-53.9970172445,1.,0.,0.0256117566688,249.83666252,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past buy","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX buy ) ) ) ) ) ) )",-81.5705505612,-81.5705505612,1.,0.,0.0256200026449,357.023095624,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past write","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX write ) ) ) ) ) ) )",-81.1126475376,-81.1126475376,1.,0.,0.0257306338986,353.817774458,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past sell","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX sell ) ) ) ) ) ) )",-83.9057295361,-83.9057295361,1.,0.,0.0254479459515,373.369348448,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past take","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX take ) ) ) ) ) ) )",-80.6870168785,-80.6870168785,1.,0.,0.0258903982305,350.838359845,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX <WUG> ) ) ) ) ) ) )",-110.569257547,-110.569257547,1.,0.,0.0254295073062,560.014044527,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past break","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  break)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX break ) ) ) ) ) ) )",-82.6064506155,-82.6064506155,1.,0.,0.0254971153976,364.274396004,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past buy","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX buy ) ) ) ) ) ) )",-81.5705505612,-81.5705505612,1.,0.,0.0256200026449,357.023095624,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past write","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX write ) ) ) ) ) ) )",-81.1126475376,-81.1126475376,1.,0.,0.0257306338986,353.817774458,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past sell","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX sell ) ) ) ) ) ) )",-83.9057295361,-83.9057295361,1.,0.,0.0254479459515,373.369348448,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past take","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX take ) ) ) ) ) ) )",-80.6870168785,-80.6870168785,1.,0.,0.0258903982305,350.838359845,1.,11.,3.;2.;2.;2.;2.;7.
"past <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP (LEX past ) (VP (LEX <WUG> ) (CP (LEX that ) (IP (LEX past ) (VP (LEX <WUG> ) ) ) ) ) ) )",-110.569257547,-110.569257547,1.,0.,0.0254295073062,560.014044527,1.,11.,3.;2.;2.;2.;2.;7.
