Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past feel that past want","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  want)))))))","(START (IP (LEX past ) (VP (LEX feel ) (CP (LEX that ) (IP past want ) ) ) ) )",-82.2014308783,-82.2014308783,0.999999999997,9.456269502e-11,0.0165866416402,273.196162321,3.,8.00000000001,3.;2.;2.;1.;3.45222992608e-12;5.
"past feel that past like","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  like)))))))","(START (IP (LEX past ) (VP (LEX feel ) (CP (LEX that ) (IP past like ) ) ) ) )",-82.4693466124,-82.4693466124,0.999999999995,1.22406836806e-10,0.0165417219261,274.535740992,3.,8.00000000001,3.;2.;2.;1.;4.51288201533e-12;5.
"past feel that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP (LEX past ) (VP (LEX feel ) (CP (LEX that ) (IP (LEX past ) (VP <WUG> ) ) ) ) ) )",-139.383955009,-139.383955235,0.999999774793,3.67228244301e-06,0.0324872885118,601.565436372,2.,10.0000002252,3.;2.;2.;2.;1.00000022521;6.00000022521
"past feel that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP (LEX past ) (VP (LEX feel ) (CP (LEX that ) (IP (LEX past ) (VP <WUG> ) ) ) ) ) )",-139.383955009,-139.383955235,0.999999774793,3.67228244301e-06,0.0324872885118,601.565436372,2.,10.0000002252,3.;2.;2.;2.;1.00000022521;6.00000022521
"past feel that past need","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  need)))))))","(START (IP (LEX past ) (VP (LEX feel ) (CP (LEX that ) (IP past need ) ) ) ) )",-85.0342896578,-85.0342896579,0.99999999993,1.71638276228e-09,0.0164067631414,287.36045622,3.,8.00000000014,3.;2.;2.;1.00000000007;7.04108539797e-11;5.00000000007
"past feel that past love","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  love)))))))","(START (IP (LEX past ) (VP (LEX feel ) (CP (LEX that ) (IP (LEX past ) (VP love ) ) ) ) ) )",-109.509390989,-109.509391023,0.999999966307,6.13417921591e-07,0.0327006263072,422.318044093,2.,10.0000000337,3.;2.;2.;2.;1.00000003369;6.00000003369
"past say that past buy","(START  (IP  (LEX  past) (VP  (LEX  say) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP (LEX past ) (VP (LEX say ) (CP (LEX that ) (IP past buy ) ) ) ) )",-79.1384850087,-79.1384850087,0.999999999999,3.83654306166e-11,0.0174773524524,260.519375268,3.,8.,3.;2.;2.;1.;1.35437192167e-12;5.
"past say that past write","(START  (IP  (LEX  past) (VP  (LEX  say) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP (LEX past ) (VP (LEX say ) (CP (LEX that ) (IP past write ) ) ) ) )",-81.7032036012,-81.7032036012,0.999999999959,1.02331289823e-09,0.0172075014293,273.342968231,3.,8.00000000008,3.;2.;2.;1.00000000004;4.1070968288e-11;5.00000000004
"past say that past sell","(START  (IP  (LEX  past) (VP  (LEX  say) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP (LEX past ) (VP (LEX say ) (CP (LEX that ) (IP (LEX past ) (VP sell ) ) ) ) ) )",-107.564041858,-107.564041925,0.999999932651,1.17951078907e-06,0.033383508241,415.921834221,2.,10.0000000673,3.;2.;2.;2.;1.00000006735;6.00000006735
"past say that past take","(START  (IP  (LEX  past) (VP  (LEX  say) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP (LEX past ) (VP (LEX say ) (CP (LEX that ) (IP past take ) ) ) ) )",-79.1007362596,-79.1007362596,0.999999999997,8.3749250695e-11,0.0174885990179,260.330631523,3.,8.00000000001,3.;2.;2.;1.;3.04345218661e-12;5.
